timestamp	step	loss
1625321205604	0	0.8417997360229492
1625321338991	1	0.5135940313339233
1625321474475	2	0.3898351788520813
1625321613537	3	0.3069727122783661
1625321754757	4	0.28543758392333984
1625321893989	5	0.23116043210029602
1625322028822	6	0.21373793482780457
1625322173340	7	0.21945920586585999
1625322318905	8	0.19533035159111023
1625322463845	9	0.1851111650466919
1625322716479	10	0.13962695002555847
1625322954640	11	0.09335573762655258
1625323195576	12	0.06775489449501038
1625323431799	13	0.06733348965644836
1625323664402	14	0.049457646906375885
1625323891324	15	0.05096781998872757
1625324119362	16	0.03734420984983444
1625324346181	17	0.0269679706543684
1625324576053	18	0.03632626309990883
1625324800206	19	0.021318428218364716
1625325024673	20	0.015259025618433952
1625325249537	21	0.01723600924015045
1625325471259	22	0.017954902723431587
1625325695941	23	0.01622648909687996
1625325919216	24	0.010406075976788998
